# ::snt dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::tok dr banda also accused senior civil servants from the north of plotting to secede from malawi and encouraged the sackings and arrests of officials of northern origins
# ::alignments 25-26|0.0.1.0.1 23-24|0.0.1.0.0+0.0.1.0 21-22|0.0.1 20-21|0.3.0.0 17-18|0.3.0 16-17|0.3 11-12|0.1 9-10|0.1.0 6-7|0.0.0+0.0 5-6|0.0.3 4-5|0.0.2 3-4|0 2-3|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:38.327
# ::node	0	accuse-01	3-4
# ::node	0.0	person	6-7
# ::node	0.0.0	serve-02	6-7
# ::node	0.0.1	arrest-01	21-22
# ::node	0.0.1.0	have-org-role-91	23-24
# ::node	0.0.1.0.0	official	23-24
# ::node	0.0.1.0.1	north	25-26
# ::node	0.0.2	senior	4-5
# ::node	0.0.3	civil	5-6
# ::node	0.1	plot-01	11-12
# ::node	0.1.0	north	9-10
# ::node	0.2	also	2-3
# ::node	0.3	and	16-17
# ::node	0.3.0	encourage-01	17-18
# ::node	0.3.0.0	and	20-21
# ::root	0	accuse-01
# ::edge	accuse-01	ARG1	person	0	0.0	
# ::edge	accuse-01	ARG2	plot-01	0	0.1	
# ::edge	accuse-01	mod	also	0	0.2	
# ::edge	and	op1	accuse-01	0.3	0	
# ::edge	arrest-01	ARG1	person	0.0.1	0.0	
# ::edge	arrest-01	time	have-org-role-91	0.0.1	0.0.1.0	
# ::edge	encourage-01	ARG1	and	0.3.0	0.3.0.0	
# ::edge	encourage-01	ARG2	and	0.3.0	0.3	
# ::edge	have-org-role-91	ARG2	official	0.0.1.0	0.0.1.0.0	
# ::edge	have-org-role-91	location	north	0.0.1.0	0.0.1.0.1	
# ::edge	person	mod	civil	0.0	0.0.3	
# ::edge	person	mod	senior	0.0	0.0.2	
# ::edge	plot-01	ARG0	north	0.1	0.1.0	
# ::edge	serve-02	ARG0	person	0.0.0	0.0	
(a4 / accuse-01 
# ::edge	offer-01	ARG0	side	0.1.0.1	0.1.0.1.0	
# ::edge	offer-01	ARG1	fill-02	0.1.0.1	0.1.0	
# ::edge	offer-01	time	year	0.1.0.1	0.1.0.1.1	
# ::edge	read-01	ARG0	40	0.1.0.1.0.0	0.1.0.1.0.0.0	
# ::edge	read-01	ARG1	side	0.1.0.1.0.0	0.1.0.1.0	
# ::edge	receive-01	ARG0	60000	0.1.0.0.0	0.1.0.0.0.0	
# ::edge	receive-01	ARG1	application	0.1.0.0.0	0.1.0.0	
# ::edge	side	mod	division	0.1.0.1.0	0.1.0.1.0.1	
# ::edge	vacate-01	ARG0	200	0	0.0	
# ::edge	vacate-01	ARG1	seat	0	0.1	
(v / vacate-01 
      :ARG0 200 
      :ARG1 (s2 / seat 
            :ARG1-of (f / fill-02 
                  :ARG0 (a / application 
                        :ARG1-of (r / receive-01 
                              :ARG0 60000) 
                        :ARG1-of (a2 / announce-01 
                              :ARG0 (t / they) 
                              :time (y / yesterday)) 
                        :mod (s / serious)) 
                  :ARG1-of (o / offer-01 
                        :ARG0 (s3 / side 
                              :ARG1-of (r2 / read-01 
                                    :ARG0 40) 
                              :mod (d / division)) 
                        :time (y2 / year)))))

# ::snt i hope somewhere down the line ill have the opportunity of carrying the sack again for him
# ::tok i hope somewhere down the line ill have the opportunity of carrying the sack again for him
# ::alignments 14-15|0.1 11-12|0 9-10|0.2 6-7|0.0.0 5-6|0.0 3-4|0.0.0.0 2-3|0.0.0.0.1 1-2|0.0.0.0.0 0-1|0.0.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:55.387
# ::node	0	carry-01	11-12
# ::node	0.0	line	5-6
# ::node	0.0.0	ill-41	6-7
# ::node	0.0.0.0	down	3-4
# ::node	0.0.0.0.0	hope-01	1-2
# ::node	0.0.0.0.0.0	i	0-1
# ::node	0.0.0.0.1	somewhere	2-3
# ::node	0.1	again	14-15
# ::node	0.2	opportunity	9-10
# ::root	0	carry-01
# ::edge	carry-01	ARG0	line	0	0.0	
# ::edge	carry-01	mod	again	0	0.1	
# ::edge	down	degree	somewhere	0.0.0.0	0.0.0.0.1	
# ::edge	hope-01	ARG0	i	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	hope-01	ARG2	down	0.0.0.0.0	0.0.0.0	
# ::edge	ill-41	ARG0	down	0.0.0	0.0.0.0	
# ::edge	ill-41	ARG1	line	0.0.0	0.0	
# ::edge	opportunity	purpose	carry-01	0.2	0	
(c / carry-01 
      :ARG0 (l / line 
            :ARG1-of (i / ill-41 
                  :ARG0 (d / down 
                        :ARG2-of (h / hope-01 
                              :ARG0 (i2 / i)) 
                        :degree (s / somewhere)))) 
      :mod (a / again) 
      :purpose-of (o / opportunity))

# ::snt as a commonwealth prime minister bavadra quite reasonably thought he could discuss his sacking with queen elizabeth i of fiji
# ::tok as a commonwealth prime minister bavadra quite reasonably thought he could discuss his sacking with queen elizabeth i of fiji
# ::alignments 17-18|0.0 11-12|0.1 10-11|0.1.1 9-10|0.1.0 8-9|0 7-8|0.1.0.0.0 6-7|0.1.0.0.0.0 4-5|0.1.0.0.1+0.1.0.0 3-4|0.1.0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:55.785
# ::node	0	think-01	8-9
# ::node	0.0	i	17-18
# ::node	0.1	discuss-01	11-12
# ::node	0.1.0	he	9-10
# ::node	0.1.0.0	have-org-role-91	4-5
# ::node	0.1.0.0.0	reasonable	7-8
# ::node	0.1.0.0.0.0	quite	6-7
# ::node	0.1.0.0.1	minister	4-5
# ::node	0.1.0.0.1.0	prime	3-4
# ::node	0.1.1	possible	10-11
# ::root	0	think-01
# ::edge	discuss-01	ARG0	he	0.1	0.1.0	
# ::edge	have-org-role-91	ARG0	he	0.1.0.0	0.1.0	
# ::edge	have-org-role-91	ARG1	reasonable	0.1.0.0	0.1.0.0.0	
# ::edge	have-org-role-91	ARG2	minister	0.1.0.0	0.1.0.0.1	
# ::edge	minister	mod	prime	0.1.0.0.1	0.1.0.0.1.0	
# ::edge	possible	domain	discuss-01	0.1.1	0.1	
# ::edge	reasonable	degree	quite	0.1.0.0.0	0.1.0.0.0.0	
# ::edge	think-01	ARG0	i	0	0.0	
# ::edge	think-01	ARG1	discuss-01	0	0.1	
(t / think-01 
      :ARG0 (i / i) 
      :ARG1 (d / discuss-01 
            :ARG0 (h / he 
                  :ARG0-of (h2 / have-org-role-91 
                        :ARG1 (r / reasonable 
                              :degree (q / quite)) 
                        :ARG2 (m / minister 
                              :mod (p2 / prime)))) 
            :domain-of (p / possible)))

# ::snt for an autobiography which purports to tell us the real story behind the sacking of george davies from the next empire which he founded what next is on the naive side
# ::tok for an autobiography which purports to tell us the real story behind the sacking of george davies from the next empire which he founded what next is on the naive side
# ::alignments 30-31|0.2.0.0 29-30|0.2.0 25-26|0.0.0.1 23-24|0.0.0 22-23|0.0 20-21|0.0.0.0 19-20|0.0.0.0.0 11-12|0.1.0 10-11|0.1 9-10|0.1.1 6-7|0 4-5|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.039
# ::node	0	tell-01	6-7
# ::node	0.0	he	22-23
# ::node	0.0.0	found-01	23-24
# ::node	0.0.0.0	empire	20-21
# ::node	0.0.0.0.0	next	19-20
# ::node	0.0.0.1	next	25-26
# ::node	0.1	story	10-11
# ::node	0.1.0	behind	11-12
# ::node	0.1.1	real	9-10
# ::node	0.2	purport-01	4-5
# ::node	0.2.0	naive	29-30
# ::node	0.2.0.0	side	30-31
# ::root	0	tell-01
# ::edge	empire	mod	next	0.0.0.0	0.0.0.0.0	
# ::edge	found-01	ARG0	he	0.0.0	0.0	
# ::edge	found-01	ARG1	empire	0.0.0	0.0.0.0	
# ::edge	found-01	ARG2	next	0.0.0	0.0.0.1	
# ::edge	purport-01	ARG0	naive	0.2	0.2.0	
# ::edge	purport-01	ARG1	tell-01	0.2	0	
# ::edge	side	mod	naive	0.2.0.0	0.2.0	
# ::edge	story	location	behind	0.1	0.1.0	
# ::edge	story	mod	real	0.1	0.1.1	
# ::edge	tell-01	ARG0	he	0	0.0	
# ::edge	tell-01	ARG1	story	0	0.1	
(t / tell-01 
      :ARG0 (h / he 
            :ARG0-of (f / found-01 
                  :ARG1 (e / empire 
                        :mod (n3 / next)) 
                  :ARG2 (n2 / next))) 
      :ARG1 (s2 / story 
            :location (b / behind) 
            :mod (r / real)) 
      :ARG1-of (p / purport-01 
            :ARG0 (n / naive 
                  :mod-of (s / side))))

# ::snt when she drives me so fucking crazy id like to tie her up in a sack and drop her over hammersmith bridge
# ::tok when she drives me so fucking crazy id like to tie her up in a sack and drop her over hammersmith bridge
# ::alignments 21-22|0.0 17-18|0 16-17|0.1 10-11|0.1.1 7-8|0.1.1.0.1 6-7|0.1.0 5-6|0.1.1.0 4-5|0.1.1.0.0 2-3|0.1.0.0 1-2|0.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.178
# ::node	0	drop-01	17-18
# ::node	0.0	bridge	21-22
# ::node	0.1	and	16-17
# ::node	0.1.0	crazy	6-7
# ::node	0.1.0.0	drive-02	2-3
# ::node	0.1.0.0.0	she	1-2
# ::node	0.1.1	tie	10-11
# ::node	0.1.1.0	fucking	5-6
# ::node	0.1.1.0.0	so	4-5
# ::node	0.1.1.0.1	id	7-8
# ::root	0	drop-01
# ::edge	and	op1	tie	0.1	0.1.1	
# ::edge	and	op2	drop-01	0.1	0	
# ::edge	crazy	domain	and	0.1.0	0.1	
# ::edge	drive-02	ARG0	she	0.1.0.0	0.1.0.0.0	
# ::edge	drive-02	ARG1	crazy	0.1.0.0	0.1.0	
# ::edge	drop-01	ARG1	bridge	0	0.0	
# ::edge	fucking	degree	so	0.1.1.0	0.1.1.0.0	
# ::edge	fucking	purpose	tie	0.1.1.0	0.1.1	
# ::edge	id	mod	fucking	0.1.1.0.1	0.1.1.0	
(d / drop-01 
      :ARG1 (b / bridge) 
      :op-of (a / and 
            :domain-of (c / crazy 
                  :ARG1-of (d2 / drive-02 
                        :ARG0 (s2 / she))) 
            :op1 (t / tie 
                  :purpose-of (f / fucking 
                        :degree (s / so) 
                        :mod-of (i / id)))))

# ::snt despite our light packs the porters who are carrying at least 15kg and inevitably on their heads whether carefullypacked rucksacks wooden boxes or sacks of bedding have soon overtaken us and disappeared from view
# ::tok despite our light packs the porters who are carrying at least 15kg and inevitably on their heads whether carefullypacked rucksacks wooden boxes or sacks of bedding have soon overtaken us and disappeared from view
# ::alignments 31-32|0.0.0.0.1 30-31|0.0.0.0 27-28|0.0.0.0.0 25-26|0.0.0.0.1.1.0 22-23|0.0.0.0.1.1 21-22|0.0.0.0.1.0 20-21|0.0.0.0.1.0.0 13-14|0 12-13|0.0 8-9|0.0.0 2-3|0.0.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.431
# ::node	0	inevitable	13-14
# ::node	0.0	and	12-13
# ::node	0.0.0	carry-01	8-9
# ::node	0.0.0.0	and	30-31
# ::node	0.0.0.0.0	soon	27-28
# ::node	0.0.0.0.1	disappear-01	31-32
# ::node	0.0.0.0.1.0	box	21-22
# ::node	0.0.0.0.1.0.0	wood	20-21
# ::node	0.0.0.0.1.1	or	22-23
# ::node	0.0.0.0.1.1.0	bedding	25-26
# ::node	0.0.0.1	light	2-3
# ::root	0	inevitable
(i / inevitable 
      :op-of (a2 / and 
            :ARG0-of (c / carry-01 
                  :ARG1 (a / and 
                        :mod (s / soon) 
                        :op1 (d / disappear-01 
                              :ARG0 (b2 / box 
                                    :mod (w / wood)) 
                              :op-of (o / or 
                                    :purpose (b / bedding)))) 
                  :ARG2 (l / light))))

# ::snt orderly demonstration was legitimate protest against disgraceful sacking of 23 nuj members at pergamon press
# ::tok orderly demonstration was legitimate protest against disgraceful sacking of 23 nuj members at pergamon press
# ::alignments 14-15|0.0.0 11-12|0.0.0.0.0+0.0.0.0 9-10|0.0.2 6-7|0.1 4-5|0.0 3-4|0.0.1 1-2|0 0-1|0.2 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.494
# ::node	0	demonstrate-01	1-2
# ::node	0.0	protest-01	4-5
# ::node	0.0.0	press	14-15
# ::node	0.0.0.0	have-org-role-91	11-12
# ::node	0.0.0.0.0	member	11-12
# ::node	0.0.1	legitimate	3-4
# ::node	0.0.2	23	9-10
# ::node	0.1	disgrace-01	6-7
# ::node	0.2	order	0-1
# ::root	0	demonstrate-01
# ::edge	demonstrate-01	manner	order	0	0.2	
# ::edge	disgrace-01	ARG1	demonstrate-01	0.1	0	
# ::edge	have-org-role-91	ARG1	press	0.0.0.0	0.0.0	
# ::edge	have-org-role-91	ARG2	member	0.0.0.0	0.0.0.0.0	
# ::edge	protest-01	ARG0	demonstrate-01	0.0	0	
# ::edge	protest-01	ARG1	press	0.0	0.0.0	
# ::edge	protest-01	mod	legitimate	0.0	0.0.1	
# ::edge	protest-01	time	23	0.0	0.0.2	
(d2 / demonstrate-01 
      :ARG0-of (p2 / protest-01 
            :ARG1 (p / press 
                  :ARG1-of (h / have-org-role-91 
                        :ARG2 (m / member))) 
            :mod (l / legitimate) 
            :time 23) 
      :ARG1-of (d / disgrace-01) 
      :manner (o / order))

# ::snt relegation and the sacking of ball dash
# ::tok relegation and the sacking of ball dash
# ::alignments 5-6|0.0 1-2|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.500
# ::node	0	and	1-2
# ::node	0.0	ball	5-6
# ::root	0	and
# ::edge	and	poss	ball	0	0.0	
(a / and 
      :poss (b / ball))

# ::snt because there was neither carriage nor honeymoon harry was saved the pother of providing sacks of rosepetal confetti
# ::tok because there was neither carriage nor honeymoon harry was saved the pother of providing sacks of rosepetal confetti
# ::alignments 13-14|0.0.0 9-10|0.0 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.517
# ::node	0	cause-01	0-1
# ::node	0.0	save-02	9-10
# ::node	0.0.0	provide-01	13-14
# ::root	0	cause-01
# ::edge	cause-01	ARG1	save-02	0	0.0	
# ::edge	save-02	ARG1	provide-01	0.0	0.0.0	
(c / cause-01 
      :ARG1 (s / save-02 
            :ARG1 (p / provide-01)))

# ::snt had forty quid to throw away on a bit of sacking
# ::tok had forty quid to throw away on a bit of sacking
# ::alignments 8-9|0.0.0 5-6|0.0.1 4-5|0.0 2-3|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.533
# ::node	0	quid	2-3
# ::node	0.0	throw-01	4-5
# ::node	0.0.0	bit	8-9
# ::node	0.0.1	away	5-6
# ::root	0	quid
(q / quid 
      :ARG1-of (t / throw-01 
            :ARG2 (b / bit) 
            :direction (a / away)))

# ::snt  where i had been lithe and supple with a dancers legs and quick movements i became slow and plodding as a sack of potatoes being dragged along the street
# ::tok where i had been lithe and supple with a dancers legs and quick movements i became slow and plodding as a sack of potatoes being dragged along the street
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.534
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt a few doors away i watched for half an hour through a film of sunlit flour motes as a small soft mass of dough was miraculously spun and flung out to cover sixfoot squares of sacking by two whirling wizened old men
# ::tok a few doors away i watched for half an hour through a film of sunlit flour motes as a small soft mass of dough was miraculously spun and flung out to cover sixfoot squares of sacking by two whirling wizened old men
# ::alignments 41-42|0.3 40-41|0.3.0 37-38|0.3.1 27-28|0 25-26|0.1 21-22|0.0 20-21|0.0.0 19-20|0.0.1 15-16|0.2.1.1 12-13|0.2.2 9-10|0.2.1.2+0.2.1 7-8|0.2.1.0 5-6|0.2 4-5|0.2.0 3-4|0.2.0.0 2-3|0.2.0.0.0 1-2|0.2.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.883
# ::node	0	and	27-28
# ::node	0.0	mass	21-22
# ::node	0.0.0	soft	20-21
# ::node	0.0.1	small	19-20
# ::node	0.1	miraculous	25-26
# ::node	0.2	watch-01	5-6
# ::node	0.2.0	i	4-5
# ::node	0.2.0.0	away	3-4
# ::node	0.2.0.0.0	door	2-3
# ::node	0.2.0.0.0.0	few	1-2
# ::node	0.2.1	temporal-quantity	9-10
# ::node	0.2.1.0	half	7-8
# ::node	0.2.1.1	flour	15-16
# ::node	0.2.1.2	hour	9-10
# ::node	0.2.2	film	12-13
# ::node	0.3	man	41-42
# ::node	0.3.0	old	40-41
# ::node	0.3.1	2	37-38
# ::root	0	and
# ::edge	and	frequency	miraculous	0	0.1	
# ::edge	and	op1	watch-01	0	0.2	
# ::edge	and	op2	man	0	0.3	
# ::edge	away	op1	i	0.2.0.0	0.2.0	
# ::edge	door	direction	away	0.2.0.0.0	0.2.0.0	
# ::edge	door	quant	few	0.2.0.0.0	0.2.0.0.0.0	
# ::edge	man	mod	old	0.3	0.3.0	
# ::edge	man	quant	2	0.3	0.3.1	
# ::edge	mass	domain	and	0.0	0	
# ::edge	mass	mod	small	0.0	0.0.1	
# ::edge	mass	mod	soft	0.0	0.0.0	
# ::edge	temporal-quantity	mod	half	0.2.1	0.2.1.0	
# ::edge	temporal-quantity	topic	flour	0.2.1	0.2.1.1	
# ::edge	temporal-quantity	unit	hour	0.2.1	0.2.1.2	
# ::edge	watch-01	ARG0	i	0.2	0.2.0	
# ::edge	watch-01	ARG3	temporal-quantity	0.2	0.2.1	
# ::edge	watch-01	prep-in	film	0.2	0.2.2	
(a / and 
      :domain-of (m3 / mass 
            :mod (s / soft) 
            :mod (s2 / small)) 
      :frequency (m2 / miraculous) 
      :op1 (w / watch-01 
            :ARG0 (i / i 
                  :op-of (a2 / away 
                        :direction-of (d / door 
                              :quant (f3 / few)))) 
            :ARG3 (t / temporal-quantity 
                  :mod (h2 / half) 
                  :topic (f / flour) 
                  :unit (h / hour)) 
            :prep-in (f2 / film)) 
      :op2 (m / man 
            :mod (o / old) 
            :quant 2))

# ::snt the district council are also appealing to residents to make sure that refuse for collection is placed in dustbins with well fitting lids or in properly secured sacks
# ::tok the district council are also appealing to residents to make sure that refuse for collection is placed in dustbins with well fitting lids or in properly secured sacks
# ::alignments 26-27|0.1.0.1.2 25-26|0.1.0.1.2.0 23-24|0.1.0.1.1 20-21|0.1.1 16-17|0.1 14-15|0.0 12-13|0 7-8|0.1.0.0+0.1.0 5-6|0.1.0.1 4-5|0.1.0.1.3 2-3|0.1.0.1.0 1-2|0.1.0.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:56.972
# ::node	0	refuse-01	12-13
# ::node	0.0	collect-01	14-15
# ::node	0.1	place-01	16-17
# ::node	0.1.0	person	7-8
# ::node	0.1.0.0	reside-01	7-8
# ::node	0.1.0.1	appeal-03	5-6
# ::node	0.1.0.1.0	council	2-3
# ::node	0.1.0.1.0.0	district	1-2
# ::node	0.1.0.1.1	or	23-24
# ::node	0.1.0.1.2	secure-01	26-27
# ::node	0.1.0.1.2.0	proper	25-26
# ::node	0.1.0.1.3	also	4-5
# ::node	0.1.1	well	20-21
# ::root	0	refuse-01
# ::edge	appeal-03	ARG0	council	0.1.0.1	0.1.0.1.0	
# ::edge	appeal-03	ARG1	or	0.1.0.1	0.1.0.1.1	
# ::edge	appeal-03	ARG2	person	0.1.0.1	0.1.0	
# ::edge	appeal-03	mod	also	0.1.0.1	0.1.0.1.3	
# ::edge	council	mod	district	0.1.0.1.0	0.1.0.1.0.0	
# ::edge	place-01	ARG0	person	0.1	0.1.0	
# ::edge	place-01	ARG1	refuse-01	0.1	0	
# ::edge	place-01	time	well	0.1	0.1.1	
# ::edge	refuse-01	ARG1	collect-01	0	0.0	
# ::edge	reside-01	ARG0	person	0.1.0.0	0.1.0	
# ::edge	secure-01	ARG1	appeal-03	0.1.0.1.2	0.1.0.1	
# ::edge	secure-01	manner	proper	0.1.0.1.2	0.1.0.1.2.0	
(r / refuse-01 
      :ARG1 (c / collect-01) 
      :ARG1-of (p2 / place-01 
            :ARG0 (p3 / person 
                  :ARG0-of (r2 / reside-01) 
                  :ARG2-of (a / appeal-03 
                        :ARG0 (c2 / council 
                              :mod (d / district)) 
                        :ARG1 (o / or) 
                        :ARG1-of (s / secure-01 
                              :manner (p / proper)) 
                        :mod (a2 / also))) 
            :time (w / well)))

# ::snt the suit she was wearing was the colour and texture of sacking a foreignlooking suit somehow with those buttoned pockets but the ticket collector was willing to bet it hadnt cost a penny less than forty guineas
# ::tok the suit she was wearing was the colour and texture of sacking a foreignlooking suit somehow with those buttoned pockets but the ticket collector was willing to bet it hadnt cost a penny less than forty guineas
# ::alignments 33-34|0.0.0 30-31|0.0.1.0.0 28-29|0.0.1.0 27-28|0.0.1 25-26|0.0 22-23|0.1.0.1.0 20-21|0 19-20|0.1.1.0.0 15-16|0.1.1.0.1 14-15|0.1.1.0 9-10|0.1.2 8-9|0.1 7-8|0.1.1 4-5|0.1.0 2-3|0.1.0.0 1-2|0.1.0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:57.405
# ::node	0	contrast-01	20-21
# ::node	0.0	will-02	25-26
# ::node	0.0.0	less	33-34
# ::node	0.0.1	bet-01	27-28
# ::node	0.0.1.0	it	28-29
# ::node	0.0.1.0.0	cost-01	30-31
# ::node	0.1	and	8-9
# ::node	0.1.0	wear-01	4-5
# ::node	0.1.0.0	she	2-3
# ::node	0.1.0.1	suit-01	1-2
# ::node	0.1.0.1.0	ticket	22-23
# ::node	0.1.1	colour	7-8
# ::node	0.1.1.0	suit-01	14-15
# ::node	0.1.1.0.0	pocket	19-20
# ::node	0.1.1.0.1	somehow	15-16
# ::node	0.1.2	texture	9-10
# ::root	0	contrast-01
# ::edge	and	op1	wear-01	0.1	0.1.0	
# ::edge	and	op2	colour	0.1	0.1.1	
# ::edge	and	op3	texture	0.1	0.1.2	
# ::edge	bet-01	ARG0	it	0.0.1	0.0.1.0	
# ::edge	contrast-01	ARG1	will-02	0	0.0	
# ::edge	contrast-01	ARG2	and	0	0.1	
# ::edge	cost-01	ARG0	it	0.0.1.0.0	0.0.1.0	
# ::edge	suit-01	ARG0	colour	0.1.1.0	0.1.1	
# ::edge	suit-01	ARG1	pocket	0.1.1.0	0.1.1.0.0	
# ::edge	suit-01	ARG1	ticket	0.1.0.1	0.1.0.1.0	
# ::edge	suit-01	direction	somehow	0.1.1.0	0.1.1.0.1	
# ::edge	wear-01	ARG0	she	0.1.0	0.1.0.0	
# ::edge	wear-01	ARG1	suit-01	0.1.0	0.1.0.1	
# ::edge	will-02	ARG0	less	0.0	0.0.0	
# ::edge	will-02	ARG1	bet-01	0.0	0.0.1	
(c2 / contrast-01 
      :ARG1 (w / will-02 
            :ARG0 (l / less) 
            :ARG1 (b / bet-01 
                  :ARG0 (i / it 
                        :ARG0-of (c / cost-01)))) 
      :ARG2 (a / and 
            :op1 (w2 / wear-01 
                  :ARG0 (s3 / she) 
                  :ARG1 (s4 / suit-01 
                        :ARG1 (t / ticket))) 
            :op2 (c3 / colour 
                  :ARG0-of (s2 / suit-01 
                        :ARG1 (p / pocket) 
                        :direction (s / somehow))) 
            :op3 (t2 / texture)))

# ::snt a small window on to the yard offered sufficient light for him to make out the cheese and butter and sacks of sugar and rice
# ::tok a small window on to the yard offered sufficient light for him to make out the cheese and butter and sacks of sugar and rice
# ::alignments 24-25|0.1 23-24|0 22-23|0.0 19-20|0.1.0 18-19|0.1.0.1.0 17-18|0.1.0.1 9-10|0.1.0.0.1 8-9|0.1.0.0.1.0 7-8|0.1.0.0 6-7|0.1.0.0.1.0.0 2-3|0.1.0.0.0 1-2|0.1.0.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:57.590
# ::node	0	and	23-24
# ::node	0.0	sugar-cane	22-23
# ::node	0.1	rice	24-25
# ::node	0.1.0	and	19-20
# ::node	0.1.0.0	offer-01	7-8
# ::node	0.1.0.0.0	window	2-3
# ::node	0.1.0.0.0.0	small	1-2
# ::node	0.1.0.0.1	light	9-10
# ::node	0.1.0.0.1.0	suffice-01	8-9
# ::node	0.1.0.0.1.0.0	yard	6-7
# ::node	0.1.0.1	and	17-18
# ::node	0.1.0.1.0	butter	18-19
# ::root	0	and
# ::edge	and	op1	butter	0.1.0.1	0.1.0.1.0	
# ::edge	and	op1	rice	0.1.0	0.1	
# ::edge	and	op1	sugar-cane	0	0.0	
# ::edge	and	op2	and	0.1.0.1	0.1.0	
# ::edge	and	op2	rice	0	0.1	
# ::edge	offer-01	ARG0	window	0.1.0.0	0.1.0.0.0	
# ::edge	offer-01	ARG1	light	0.1.0.0	0.1.0.0.1	
# ::edge	offer-01	ARG3	and	0.1.0.0	0.1.0	
# ::edge	suffice-01	ARG0	light	0.1.0.0.1.0	0.1.0.0.1	
# ::edge	suffice-01	ARG1	yard	0.1.0.0.1.0	0.1.0.0.1.0.0	
# ::edge	window	mod	small	0.1.0.0.0	0.1.0.0.0.0	
(a / and 
      :op1 (s / sugar-cane) 
      :op2 (r / rice 
            :op-of (a2 / and 
                  :ARG3-of (o / offer-01 
                        :ARG0 (w / window 
                              :mod (s3 / small)) 
                        :ARG1 (l / light 
                              :ARG0-of (s2 / suffice-01 
                                    :ARG1 (y / yard)))) 
                  :op-of (a3 / and 
                        :op1 (b / butter)))))

# ::snt ju di or due the sack according to scouse critics
# ::tok ju di or due the sack according to scouse critics
# ::alignments 9-10|0.0 2-3|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:57.597
# ::node	0	or	2-3
# ::node	0.0	critic	9-10
# ::root	0	or
# ::edge	or	mod	critic	0	0.0	
(o / or 
      :mod (c / critic))

# ::snt hammam wimbledons owner had assured him that reports of his imminent sacking were completely without foundation
# ::tok hammam wimbledons owner had assured him that reports of his imminent sacking were completely without foundation
# ::alignments 15-16|0.1.0 13-14|0.1.1 10-11|0.0.0.0 7-8|0.1 4-5|0 2-3|0.0.0+0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T22:56:57.650
# ::node	0	assure-01	4-5
