# ::snt labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::tok labour and liberal county councillors have set spending levels far in excess of what the department of environment considered reasonable or necessary and far in excess of the budgets proposed year on year by the conservative group on the county council
# ::alignments 40-41|0.1.0.3.1 39-40|0.1.0.3.1.0 36-37|0.1.0.3 35-36|0.1.0.3.2 32-33|0.1.0.3.0 30-31|0.1.0.0.0.0 29-30|0.1.0.0.0 28-29|0.1.0.0.1.0 25-26|0.1.0.0.1 23-24|0.1.1 22-23|0 20-21|0.1 19-20|0.1.0.1 18-19|0.1.0 17-18|0.1.0.0.2 15-16|0.1.0.0 11-12|0.1.0.2 9-10|0.1.0.2.0 8-9|0.0.2.0 7-8|0.0.2 3-4|0.0.1.0 2-3|0.0.1 1-2|0.0 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:01.262
# ::node	0	and	22-23
# ::node	0.0	and	1-2
# ::node	0.0.0	labour	0-1
# ::node	0.0.1	liberal	2-3
# ::node	0.0.1.0	county	3-4
# ::node	0.0.2	spend-01	7-8
# ::node	0.0.2.0	level	8-9
# ::node	0.1	or	20-21
# ::node	0.1.0	consider-01	18-19
# ::node	0.1.0.0	department	15-16
# ::node	0.1.0.0.0	propose-01	29-30
# ::node	0.1.0.0.0.0	year	30-31
# ::node	0.1.0.0.1	exceed-01	25-26
# ::node	0.1.0.0.1.0	budget	28-29
# ::node	0.1.0.0.2	environment	17-18
# ::node	0.1.0.1	reasonable	19-20
# ::node	0.1.0.2	exceed-01	11-12
# ::node	0.1.0.2.0	far	9-10
# ::node	0.1.0.3	group	36-37
# ::node	0.1.0.3.0	year	32-33
# ::node	0.1.0.3.1	council	40-41
# ::node	0.1.0.3.1.0	county	39-40
# ::node	0.1.0.3.2	conservative	35-36
# ::node	0.1.1	far	23-24
# ::root	0	and
(a / and 
                  :op-of 50 
                  :op-of 10) 
            :time (d / date-entity 
                  :year 1000)))

# ::snt the lightman report says that mr scargill and mr simon have unrestricted and unaudited access to funds currently in excess of 2 million in accounts which can only be operated by mr west
# ::tok the lightman report says that mr scargill and mr simon have unrestricted and unaudited access to funds currently in excess of 2 million in accounts which can only be operated by mr west
# ::alignments 32-33|0.2.0.0 27-28|0.1.0.2 26-27|0.2.1 24-25|0.2.1.0 21-22|0.1.0.0 19-20|0.2.0 17-18|0.2.0.1 16-17|0.1.0.1 14-15|0.1.0 12-13|0.1 7-8|0.2 3-4|0 2-3|0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:16.859
# ::node	0	say-01	3-4
# ::node	0.0	report	2-3
# ::node	0.1	and	12-13
# ::node	0.1.0	access-01	14-15
# ::node	0.1.0.0	2	21-22
# ::node	0.1.0.1	fund	16-17
# ::node	0.1.0.2	only	27-28
# ::node	0.2	and	7-8
# ::node	0.2.0	exceed-01	19-20
# ::node	0.2.0.0	west	32-33
# ::node	0.2.0.1	current	17-18
# ::node	0.2.1	possible	26-27
# ::node	0.2.1.0	account	24-25
# ::root	0	say-01
# ::edge	access-01	ARG0	2	0.1.0	0.1.0.0	
# ::edge	access-01	ARG1	fund	0.1.0	0.1.0.1	
# ::edge	access-01	mod	only	0.1.0	0.1.0.2	
# ::edge	account	domain	possible	0.2.1.0	0.2.1	
# ::edge	and	op1	access-01	0.1	0.1.0	
# ::edge	and	op1	say-01	0.2	0	
# ::edge	and	op2	possible	0.2	0.2.1	
# ::edge	exceed-01	ARG0	west	0.2.0	0.2.0.0	
# ::edge	exceed-01	ARG1	and	0.2.0	0.2	
# ::edge	exceed-01	time	current	0.2.0	0.2.0.1	
# ::edge	say-01	ARG0	report	0	0.0	
# ::edge	say-01	ARG1	and	0	0.1	
(s / say-01 
      :ARG0 (r / report) 
      :ARG1 (a3 / and 
            :op1 (a2 / access-01 
                  :ARG0 2 
                  :ARG1 (f / fund) 
                  :mod (o / only))) 
      :op-of (a4 / and 
            :ARG1-of (e / exceed-01 
                  :ARG0 (w / west) 
                  :time (c / current)) 
            :op1 (p / possible 
                  :domain-of (a / account))))

# ::snt on examination there was little abnormal to see the cervix looked very healthy and there was no excess of vaginal discharge
# ::tok on examination there was little abnormal to see the cervix looked very healthy and there was no excess of vaginal discharge
# ::alignments 20-21|0.2.0 17-18|0.2 16-17|0.2.1 13-14|0 12-13|0.1.0 11-12|0.1.0.0 10-11|0.1 7-8|0.0 5-6|0.0.1 4-5|0.0.1.0 1-2|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:16.917
# ::node	0	and	13-14
# ::node	0.0	see-01	7-8
# ::node	0.0.0	examine-01	1-2
# ::node	0.0.1	abnormal	5-6
# ::node	0.0.1.0	little	4-5
# ::node	0.1	look-01	10-11
# ::node	0.1.0	healthy	12-13
# ::node	0.1.0.0	very	11-12
# ::node	0.2	exceed-01	17-18
# ::node	0.2.0	discharge-01	20-21
# ::node	0.2.1	-	16-17
# ::root	0	and
# ::edge	abnormal	domain	see-01	0.0.1	0.0	
# ::edge	abnormal	mod	little	0.0.1	0.0.1.0	
# ::edge	and	op1	see-01	0	0.0	
# ::edge	and	op2	look-01	0	0.1	
# ::edge	and	op3	exceed-01	0	0.2	
# ::edge	examine-01	ARG1	see-01	0.0.0	0.0	
# ::edge	exceed-01	ARG1	discharge-01	0.2	0.2.0	
# ::edge	exceed-01	polarity	-	0.2	0.2.1	
# ::edge	healthy	degree	very	0.1.0	0.1.0.0	
# ::edge	look-01	ARG1	healthy	0.1	0.1.0	
(a / and 
      :op1 (s / see-01 
            :ARG1-of (e2 / examine-01) 
            :domain-of (a2 / abnormal 
                  :mod (l2 / little))) 
      :op2 (l / look-01 
            :ARG1 (h / healthy 
                  :degree (v / very))) 
      :op3 (e / exceed-01 
            :ARG1 (d / discharge-01) 
            :polarity (- / -)))

# ::snt yet cynical though its manufacture was the excesses of the fuumlaut
# ::tok yet cynical though its manufacture was the excesses of the fuumlaut
# ::alignments 4-5|0.0 1-2|0 0-1|0.1 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:16.929
# ::node	0	cynical	1-2
# ::node	0.0	manufacture-01	4-5
# ::node	0.1	yet	0-1
# ::root	0	cynical
# ::edge	cynical	degree	yet	0	0.1	
# ::edge	manufacture-01	ARG1	cynical	0.0	0	
(c / cynical 
      :ARG1-of (m / manufacture-01) 
      :degree (y / yet))

# ::snt then run a piece of plastic or wood finished with a smooth small radius around the edge and leave the excess to cure
# ::tok then run a piece of plastic or wood finished with a smooth small radius around the edge and leave the excess to cure
# ::alignments 22-23|0.1.0.0 20-21|0.1.0 18-19|0.1 17-18|0 14-15|0.1.0.0.1.0 13-14|0.1.0.0.1 12-13|0.1.0.0.1.1 11-12|0.1.0.0.1.2 8-9|0.0 7-8|0.0.0.0.0.0 6-7|0.0.0.0.0 5-6|0.0.0.0 3-4|0.0.0 0-1|0.1.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:17.057
# ::node	0	and	17-18
# ::node	0.0	finish-01	8-9
# ::node	0.0.0	piece	3-4
# ::node	0.0.0.0	plastic	5-6
# ::node	0.0.0.0.0	or	6-7
# ::node	0.0.0.0.0.0	wood	7-8
# ::node	0.1	leave-01	18-19
# ::node	0.1.0	exceed-01	20-21
# ::node	0.1.0.0	cure-01	22-23
# ::node	0.1.0.0.0	then	0-1
# ::node	0.1.0.0.1	radius	13-14
# ::node	0.1.0.0.1.0	around	14-15
# ::node	0.1.0.0.1.1	small	12-13
# ::node	0.1.0.0.1.2	smooth	11-12
# ::root	0	and
# ::edge	and	op1	finish-01	0	0.0	
# ::edge	and	op2	leave-01	0	0.1	
# ::edge	cure-01	ARG0	then	0.1.0.0	0.1.0.0.0	
# ::edge	cure-01	ARG1	radius	0.1.0.0	0.1.0.0.1	
# ::edge	exceed-01	ARG2	cure-01	0.1.0	0.1.0.0	
# ::edge	finish-01	ARG1	piece	0.0	0.0.0	
# ::edge	leave-01	ARG1	exceed-01	0.1	0.1.0	
# ::edge	or	op1	plastic	0.0.0.0.0	0.0.0.0	
# ::edge	or	op2	wood	0.0.0.0.0	0.0.0.0.0.0	
# ::edge	piece	mod	plastic	0.0.0	0.0.0.0	
# ::edge	radius	location	around	0.1.0.0.1	0.1.0.0.1.0	
# ::edge	radius	mod	small	0.1.0.0.1	0.1.0.0.1.1	
# ::edge	radius	mod	smooth	0.1.0.0.1	0.1.0.0.1.2	
(a / and 
      :op1 (f / finish-01 
            :ARG1 (p2 / piece 
                  :mod (p / plastic 
                        :op-of (o / or 
                              :op1 (w / wood))))) 
      :op2 (l / leave-01 
            :ARG1 (e / exceed-01 
                  :ARG2 (c / cure-01 
                        :ARG0 (t / then) 
                        :ARG1 (r / radius 
                              :location (a2 / around) 
                              :mod (s / small) 
                              :mod (s2 / smooth))))))

# ::snt go back two centuries to monteverdi when the first seeds of opera were sown and the experience is altogether different excesses are stripped away replaced by spareness and understatement
# ::tok go back two centuries to monteverdi when the first seeds of opera were sown and the experience is altogether different excesses are stripped away replaced by spareness and understatement
# ::alignments 27-28|0 24-25|0.0 23-24|0.0.1.1 22-23|0.0.1 19-20|0.0.0 18-19|0.0.0.2 16-17|0.0.0.1 14-15|0.0.0.3 11-12|0.0.0.3.0 9-10|0.0.0.0 3-4|0.0.1.0.0.1+0.0.1.0.0 2-3|0.0.1.0.0.0 1-2|0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:17.338
# ::node	0	and	27-28
# ::node	0.0	replace-01	24-25
# ::node	0.0.0	differ-02	19-20
# ::node	0.0.0.0	seed	9-10
# ::node	0.0.0.1	experience-01	16-17
# ::node	0.0.0.2	altogether	18-19
# ::node	0.0.0.3	and	14-15
# ::node	0.0.0.3.0	opera	11-12
# ::node	0.0.1	strip-01	22-23
# ::node	0.0.1.0	back	1-2
# ::node	0.0.1.0.0	temporal-quantity	3-4
# ::node	0.0.1.0.0.0	2	2-3
# ::node	0.0.1.0.0.1	century	3-4
# ::node	0.0.1.1	away	23-24
# ::root	0	and
(a / and 
      :ARG0-of (r / replace-01 
            :ARG1 (d / differ-02 
                  :ARG0 (s2 / seed) 
                  :ARG1 (e / experience-01) 
                  :mod (a3 / altogether) 
                  :op-of (a4 / and 
                        :op1 (o / opera))) 
            :ARG2-of (s / strip-01 
                  :ARG1 (b / back 
                        :mod-of (t / temporal-quantity 
                              :quant 2 
                              :unit (c / century))) 
                  :direction (a2 / away))))

# ::snt what sanctions are there against an insurer turning down a settlement offer by the plaintiff within the insurance limits and thereby exposing his client the insured to personal liability on a later verdict in excess of those limits
# ::tok what sanctions are there against an insurer turning down a settlement offer by the plaintiff within the insurance limits and thereby exposing his client the insured to personal liability on a later verdict in excess of those limits
# ::alignments 37-38|0.3.0.0.0 34-35|0.3.0.0.0.0 32-33|0.3.0.0.0.0.0 31-32|0.3.0.0.0.0.0.0 28-29|0.3.0.0 27-28|0.3.0.0.1 25-26|0.3.0+0.3 23-24|0.2.1 21-22|0.2 19-20|0 18-19|0.1 17-18|0.1.0 15-16|0.1.1 11-12|0.0.0 10-11|0.0.0.0 8-9|0.0.1 7-8|0.0 1-2|0.2.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:17.705
# ::node	0	and	19-20
# ::node	0.0	turn-02	7-8
# ::node	0.0.0	offer-01	11-12
# ::node	0.0.0.0	settle-02	10-11
# ::node	0.0.1	down	8-9
# ::node	0.1	limit-01	18-19
# ::node	0.1.0	insure-02	17-18
# ::node	0.1.1	within	15-16
# ::node	0.2	expose-01	21-22
# ::node	0.2.0	sanction-02	1-2
# ::node	0.2.1	client	23-24
# ::node	0.3	person	25-26
# ::node	0.3.0	insure-02	25-26
# ::node	0.3.0.0	liability	28-29
# ::node	0.3.0.0.0	limit-01	37-38
# ::node	0.3.0.0.0.0	exceed-01	34-35
# ::node	0.3.0.0.0.0.0	verdict	32-33
# ::node	0.3.0.0.0.0.0.0	late	31-32
# ::node	0.3.0.0.1	personal	27-28
# ::root	0	and
# ::edge	and	op1	turn-02	0	0.0	
# ::edge	and	op2	limit-01	0	0.1	
# ::edge	and	op3	expose-01	0	0.2	
# ::edge	and	op4	person	0	0.3	
# ::edge	exceed-01	ARG1	limit-01	0.3.0.0.0.0	0.3.0.0.0	
# ::edge	expose-01	ARG0	sanction-02	0.2	0.2.0	
# ::edge	expose-01	ARG1	client	0.2	0.2.1	
# ::edge	insure-02	ARG1	person	0.3.0	0.3	
# ::edge	insure-02	ARG2	liability	0.3.0	0.3.0.0	
# ::edge	liability	mod	personal	0.3.0.0	0.3.0.0.1	
# ::edge	limit-01	ARG1	insure-02	0.1	0.1.0	
# ::edge	limit-01	ARG1	liability	0.3.0.0.0	0.3.0.0	
# ::edge	settle-02	ARG1	offer-01	0.0.0.0	0.0.0	
# ::edge	turn-02	ARG1	offer-01	0.0	0.0.0	
# ::edge	turn-02	direction	down	0.0	0.0.1	
# ::edge	verdict	mod	exceed-01	0.3.0.0.0.0.0	0.3.0.0.0.0	
# ::edge	verdict	time	late	0.3.0.0.0.0.0	0.3.0.0.0.0.0.0	
# ::edge	within	op1	limit-01	0.1.1	0.1	
(a / and 
      :op1 (t / turn-02 
            :ARG1 (o / offer-01 
                  :ARG1-of (s / settle-02)) 
            :direction (d / down)) 
      :op2 (l4 / limit-01 
            :ARG1 (i2 / insure-02) 
            :op-of (w / within)) 
      :op3 (e2 / expose-01 
            :ARG0 (s2 / sanction-02) 
            :ARG1 (c / client)) 
      :op4 (p2 / person 
            :ARG1-of (i / insure-02 
                  :ARG2 (l3 / liability 
                        :ARG1-of (l / limit-01 
                              :ARG1-of (e / exceed-01 
                                    :mod-of (v / verdict 
                                          :time (l2 / late)))) 
                        :mod (p / personal)))))

# ::snt as one might expect he tells terrible tales of political excesses
# ::tok as one might expect he tells terrible tales of political excesses
# ::alignments 9-10|0.0 6-7|0.1.1 5-6|0.1 4-5|0.1.0 3-4|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:17.723
# ::node	0	expect-01	3-4
# ::node	0.0	politics	9-10
# ::node	0.1	tell-01	5-6
# ::node	0.1.0	he	4-5
# ::node	0.1.1	terrible	6-7
# ::root	0	expect-01
# ::edge	expect-01	ARG0	politics	0	0.0	
# ::edge	expect-01	ARG1	tell-01	0	0.1	
# ::edge	tell-01	ARG0	he	0.1	0.1.0	
# ::edge	tell-01	ARG1	terrible	0.1	0.1.1	
(e / expect-01 
      :ARG0 (p / politics) 
      :ARG1 (t2 / tell-01 
            :ARG0 (h / he) 
            :ARG1 (t / terrible)))

# ::snt it doesnt quite rise to the challenge of the rich character parts but is a sound revival stylistically on guard against the usual excess of talcumed periwigs and suckedin cheeks
# ::tok it doesnt quite rise to the challenge of the rich character parts but is a sound revival stylistically on guard against the usual excess of talcumed periwigs and suckedin cheeks
# ::alignments 27-28|0.0.1.1.0 23-24|0.0.1.1 22-23|0.0.1.1.1 16-17|0.0.1.0.0.0 15-16|0.0.1.0.0.0.0 12-13|0 11-12|0.0.1.0 10-11|0.0.1.0.0 9-10|0.0.1.0.1 6-7|0.0.1 3-4|0.0 2-3|0.0.2 0-1|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:17.808
# ::node	0	contrast-01	12-13
# ::node	0.0	rise-01	3-4
# ::node	0.0.0	it	0-1
# ::node	0.0.1	challenge-01	6-7
# ::node	0.0.1.0	part	11-12
# ::node	0.0.1.0.0	character	10-11
# ::node	0.0.1.0.0.0	revive-01	16-17
# ::node	0.0.1.0.0.0.0	sound	15-16
# ::node	0.0.1.0.1	rich	9-10
# ::node	0.0.1.1	exceed-01	23-24
# ::node	0.0.1.1.0	and	27-28
# ::node	0.0.1.1.1	usual	22-23
# ::node	0.0.2	quite	2-3
# ::root	0	contrast-01
# ::edge	challenge-01	ARG0	part	0.0.1	0.0.1.0	
# ::edge	challenge-01	ARG1	exceed-01	0.0.1	0.0.1.1	
# ::edge	contrast-01	ARG2	rise-01	0	0.0	
# ::edge	exceed-01	ARG1	and	0.0.1.1	0.0.1.1.0	
# ::edge	exceed-01	mod	usual	0.0.1.1	0.0.1.1.1	
# ::edge	part	mod	character	0.0.1.0	0.0.1.0.0	
# ::edge	part	mod	rich	0.0.1.0	0.0.1.0.1	
# ::edge	revive-01	ARG0	sound	0.0.1.0.0.0	0.0.1.0.0.0.0	
# ::edge	revive-01	ARG1	character	0.0.1.0.0.0	0.0.1.0.0	
# ::edge	rise-01	ARG0	it	0.0	0.0.0	
# ::edge	rise-01	ARG1	challenge-01	0.0	0.0.1	
# ::edge	rise-01	mod	quite	0.0	0.0.2	
(c / contrast-01 
      :ARG2 (r3 / rise-01 
            :ARG0 (i / it) 
            :ARG1 (c3 / challenge-01 
                  :ARG0 (p / part 
                        :mod (c2 / character 
                              :ARG1-of (r / revive-01 
                                    :ARG0 (s / sound))) 
                        :mod (r2 / rich)) 
                  :ARG1 (e / exceed-01 
                        :ARG1 (a / and) 
                        :mod (u / usual))) 
            :mod (q / quite)))

# ::snt in her crude language and obscene charm she was the icon of materialist excess and grossness
# ::tok in her crude language and obscene charm she was the icon of materialist excess and grossness
# ::alignments 14-15|0.0.0.0.0 13-14|0.0.0.0 7-8|0.0.0 6-7|0.0 4-5|0 3-4|0.0.0.1 2-3|0.0.0.1.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:17.834
# ::node	0	and	4-5
# ::node	0.0	charm-01	6-7
# ::node	0.0.0	she	7-8
# ::node	0.0.0.0	exceed-01	13-14
# ::node	0.0.0.0.0	and	14-15
# ::node	0.0.0.1	language	3-4
# ::node	0.0.0.1.0	crude	2-3
# ::root	0	and
# ::edge	and	op1	charm-01	0	0.0	
# ::edge	and	op1	exceed-01	0.0.0.0.0	0.0.0.0	
# ::edge	charm-01	ARG1	she	0.0	0.0.0	
# ::edge	exceed-01	ARG1	she	0.0.0.0	0.0.0	
# ::edge	language	mod	crude	0.0.0.1	0.0.0.1.0	
# ::edge	language	op1	she	0.0.0.1	0.0.0	
(a2 / and 
      :op1 (c / charm-01 
            :ARG1 (s / she 
                  :ARG1-of (e / exceed-01 
                        :op-of (a / and)) 
                  :op-of (l / language 
                        :mod (c2 / crude)))))

# ::snt however if this is in excess of your allowance a charge will be made
# ::tok however if this is in excess of your allowance a charge will be made
# ::alignments 8-9|0 5-6|0.0 2-3|0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:17.862
# ::node	0	allowance	8-9
# ::node	0.0	exceed-01	5-6
# ::node	0.0.0	this	2-3
# ::root	0	allowance
(a / allowance 
      :ARG2-of (e / exceed-01 
            :ARG1 (t / this)))

# ::snt offering us the entire history of world theatre a kind of popup guide to the theatrical imagination he artfully avoids dry chronology beginning instead with the modern virtuoso excesses of simon callow reaching shakespeare through jane austens observations of edmund kean and the greeks via puppetry
# ::tok offering us the entire history of world theatre a kind of popup guide to the theatrical imagination he artfully avoids dry chronology beginning instead with the modern virtuoso excesses of simon callow reaching shakespeare through jane austens observations of edmund kean and the greeks via puppetry
# ::alignments 41-42|0.2.0 32-33|0.2 26-27|0.0 23-24|0.2.1.2 22-23|0.2.1 20-21|0.2.1.1 17-18|0.2.1.1.0 15-16|0.1 12-13|0 9-10|0.3 6-7|0.2.1.0 4-5|0.2.0.0.0 3-4|0.2.0.0.0.0 0-1|0.2.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:18.101
# ::node	0	guide-01	12-13
# ::node	0.0	modern	26-27
# ::node	0.1	theater	15-16
# ::node	0.2	reach-01	32-33
# ::node	0.2.0	and	41-42
# ::node	0.2.0.0	offer-01	0-1
# ::node	0.2.0.0.0	history	4-5
# ::node	0.2.0.0.0.0	entire	3-4
# ::node	0.2.1	begin-01	22-23
# ::node	0.2.1.0	world	6-7
# ::node	0.2.1.1	dry-02	20-21
# ::node	0.2.1.1.0	he	17-18
# ::node	0.2.1.2	instead	23-24
# ::node	0.3	kind	9-10
# ::root	0	guide-01
# ::edge	begin-01	ARG0	world	0.2.1	0.2.1.0	
# ::edge	begin-01	ARG1	reach-01	0.2.1	0.2	
# ::edge	begin-01	time	instead	0.2.1	0.2.1.2	
# ::edge	dry-02	ARG0	he	0.2.1.1	0.2.1.1.0	
# ::edge	dry-02	ARG1	begin-01	0.2.1.1	0.2.1	
# ::edge	guide-01	ARG0	modern	0	0.0	
# ::edge	guide-01	ARG1	theater	0	0.1	
# ::edge	guide-01	mod	kind	0	0.3	
# ::edge	history	mod	entire	0.2.0.0.0	0.2.0.0.0.0	
# ::edge	offer-01	ARG0	and	0.2.0.0	0.2.0	
# ::edge	offer-01	ARG1	history	0.2.0.0	0.2.0.0.0	
# ::edge	reach-01	ARG0	and	0.2	0.2.0	
# ::edge	reach-01	ARG1	guide-01	0.2	0	
(g / guide-01 
      :ARG0 (m / modern) 
      :ARG1 (t / theater) 
      :ARG1-of (r / reach-01 
            :ARG0 (a / and 
                  :ARG0-of (o / offer-01 
                        :ARG1 (h2 / history 
                              :mod (e / entire)))) 
            :ARG1-of (b / begin-01 
                  :ARG0 (w / world) 
                  :ARG1-of (d / dry-02 
                        :ARG0 (h / he)) 
                  :time (i / instead))) 
      :mod (k / kind))

# ::snt but when you loved it didnt you ellip  i mean i know i did when i was a young person first drinking vocal soundum i definitely had the feeling that if i was drinking to excess i wasnt doing the right thing whereas the impression we give in oxford that drinking to the excess is perfectly acceptable behaviour
# ::tok but when you loved it didnt you ellip i mean i know i did when i was a young person first drinking vocal soundum i definitely had the feeling that if i was drinking to excess i wasnt doing the right thing whereas the impression we give in oxford that drinking to the excess is perfectly acceptable behaviour
# ::alignments 0-1|0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:18.102
# THERE WAS AN EXCEPTION IN THE PARSER.  Returning an empty graph.
# java.lang.AssertionError: assertion failed
# 	at scala.Predef$.assert(Predef.scala:165)
# 	at edu.cmu.lti.nlp.amr.Annotation$$anonfun$makeLeftRight$1.apply$mcVI$sp(Annotation.scala:70)
# 	at scala.collection.immutable.Range.foreach$mVc$sp(Range.scala:141)
# 	at edu.cmu.lti.nlp.amr.Annotation.makeLeftRight(Annotation.scala:51)
# 	at edu.cmu.lti.nlp.amr.Annotation.<init>(Annotation.scala:89)
# 	at edu.cmu.lti.nlp.amr.Input.<init>(Input.scala:19)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply$mcV$sp(AMRParser.scala:200)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3$$anonfun$apply$1.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.time(AMRParser.scala:78)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:194)
# 	at edu.cmu.lti.nlp.amr.AMRParser$$anonfun$main$3.apply(AMRParser.scala:192)
# 	at scala.collection.TraversableLike$WithFilter$$anonfun$foreach$1.apply(TraversableLike.scala:772)
# 	at scala.collection.IndexedSeqOptimized$class.foreach(IndexedSeqOptimized.scala:33)
# 	at scala.collection.mutable.ArrayOps$ofRef.foreach(ArrayOps.scala:108)
# 	at scala.collection.TraversableLike$WithFilter.foreach(TraversableLike.scala:771)
# 	at edu.cmu.lti.nlp.amr.AMRParser$.main(AMRParser.scala:192)
# 	at edu.cmu.lti.nlp.amr.AMRParser.main(AMRParser.scala)
(a / amr-empty)

# ::snt if a council budgets to spend more than its settlement assumption and has to levy a higher poll tax the excess will be met by the individual payer dash
# ::tok if a council budgets to spend more than its settlement assumption and has to levy a higher poll tax the excess will be met by the individual payer dash
# ::alignments 27-28|0.0.0.0+0.0.0 26-27|0.0.0.1 23-24|0 20-21|0.0 18-19|0.0.1 17-18|0.0.1.0 16-17|0.0.1.2 11-12|0.0.1.1.1 9-10|0.0.1.1.1.0 5-6|0.0.1.1 3-4|0.0.1.1.0 2-3|0.0.1.1.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:18.260
# ::node	0	meet-03	23-24
# ::node	0.0	exceed-01	20-21
# ::node	0.0.0	person	27-28
# ::node	0.0.0.0	pay-01	27-28
# ::node	0.0.0.1	individual	26-27
# ::node	0.0.1	tax-01	18-19
# ::node	0.0.1.0	poll-01	17-18
# ::node	0.0.1.1	spend-01	5-6
# ::node	0.0.1.1.0	budget	3-4
# ::node	0.0.1.1.0.0	council	2-3
# ::node	0.0.1.1.1	and	11-12
# ::node	0.0.1.1.1.0	settle-02	9-10
# ::node	0.0.1.2	high	16-17
# ::root	0	meet-03
# ::edge	and	manner	settle-02	0.0.1.1.1	0.0.1.1.1.0	
# ::edge	and	op1	spend-01	0.0.1.1.1	0.0.1.1	
# ::edge	budget	mod	council	0.0.1.1.0	0.0.1.1.0.0	
# ::edge	exceed-01	ARG0	person	0.0	0.0.0	
# ::edge	exceed-01	ARG1	tax-01	0.0	0.0.1	
# ::edge	meet-03	ARG1	exceed-01	0	0.0	
# ::edge	pay-01	ARG0	person	0.0.0.0	0.0.0	
# ::edge	person	mod	individual	0.0.0	0.0.0.1	
# ::edge	spend-01	ARG0	budget	0.0.1.1	0.0.1.1.0	
# ::edge	spend-01	ARG1	tax-01	0.0.1.1	0.0.1	
# ::edge	tax-01	ARG1	poll-01	0.0.1	0.0.1.0	
# ::edge	tax-01	ARG2	high	0.0.1	0.0.1.2	
(m / meet-03 
      :ARG1 (e / exceed-01 
            :ARG0 (p / person 
                  :ARG0-of (p2 / pay-01) 
                  :mod (i / individual)) 
            :ARG1 (t / tax-01 
                  :ARG1 (p3 / poll-01) 
                  :ARG1-of (s2 / spend-01 
                        :ARG0 (b / budget 
                              :mod (c / council)) 
                        :op-of (a / and 
                              :manner (s / settle-02))) 
                  :ARG2 (h / high))))

# ::snt in addition to workers compensation a number of states require nonoccupational disability insurancefo id102 many have enacted nofault automobile insurance and federal legislation has experimented with several compensation plans for special injuries notably black lung diseasefo id103 and now vaccine injuriesfo id104 as well as making itself responsible for excess insurance for nuclear accidents
# ::tok in addition to workers compensation a number of states require nonoccupational disability insurancefo id102 many have enacted nofault automobile insurance and federal legislation has experimented with several compensation plans for special injuries notably black lung diseasefo id103 and now vaccine injuriesfo id104 as well as making itself responsible for excess insurance for nuclear accidents
# ::alignments 53-54|0.0.2.0.2.2.0 52-53|0.0.2.0.0.0.1.0 50-51|0.0.2.0.2.2 49-50|0.0.2.0.2.2.1 47-48|0.0.2.0.2 43-44|0.0.2.0.2.1 39-40|0.0.3 38-39|0.1 37-38|0 33-34|0.0.2.0.2.0 32-33|0.0.2.0.2.0.0 31-32|0.0.2.0.0.0.1 30-31|0.0.2.0.0.0.1.2 28-29|0.0.2.0.0.0.1.1 27-28|0.0.2.0.0.0.1.1.0 26-27|0.0.2.0.0.0.1.1.1 22-23|0.0.2.0.1 21-22|0.0.2.0.1.0 20-21|0.0.2.0 19-20|0.0 18-19|0.0.1 16-17|0.0.2 14-15|0.0.0 11-12|0.0.2.0.0.1.0.0 9-10|0.0.2.0.0.1.0 8-9|0.0.2.0.0.1.1 6-7|0.0.2.0.0.1 4-5|0.0.2.0.0 3-4|0.0.2.0.0.0.0+0.0.2.0.0.0 ::annotator JAMR dev v0.3 ::date 2015-05-11T01:01:20.363
